time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-15T23:08:51.490Z,32.8526,130.7623,10,4.6,mb,,106,0.288,0.8,us,us20005iul,2016-06-27T23:01:45.040Z,"8 km NE of Kumamoto, Japan",earthquake,5.3,1.9,0.102,29,reviewed,us,us
2016-04-15T22:23:55.040Z,32.7537,130.7439,10,4.6,mwr,,61,0.386,0.7,us,us20005iu7,2016-06-27T23:01:45.040Z,"7 km SE of Kumamoto, Japan",earthquake,4.1,1.8,0.08,15,reviewed,us,us
2016-04-15T22:11:40.270Z,33.2528,131.3738,10,5.1,mwr,,47,0.435,0.61,us,us20005iu4,2022-08-02T18:33:15.261Z,"11 km WSW of Beppu, Japan",earthquake,4.1,1.8,0.08,15,reviewed,us,us
2016-04-15T21:40:01.520Z,32.9476,130.9111,10,4.5,mwr,,104,0.179,0.82,us,us20005itt,2016-06-27T23:01:44.040Z,"8 km NNE of ?zu, Japan",earthquake,3.4,1.8,0.08,15,reviewed,us,us
2016-04-15T20:34:13.850Z,32.5936,130.5146,10,4.5,mb,,99,0.611,0.87,us,us20005it7,2016-06-27T23:01:43.040Z,"12 km NW of Honmachi, Japan",earthquake,2.8,1.9,0.098,31,reviewed,us,us
2016-04-15T19:51:24.040Z,32.7106,130.7408,4.05,4.7,mb,,91,0.428,0.76,us,us20005iqi,2016-06-27T23:01:43.040Z,"7 km ENE of Uto, Japan",earthquake,2.6,5,0.093,37,reviewed,us,us
2016-04-15T19:24:27.770Z,32.9695,130.9231,13.19,4.6,mb,,81,0.16,1.16,us,us20005kzw,2016-06-27T23:01:42.040Z,"10 km E of Kikuchi, Japan",earthquake,5.2,4.5,0.075,53,reviewed,us,us
2016-04-15T19:05:49.150Z,32.7884,130.7323,8.78,4.5,mb,,100,0.357,0.73,us,us20005kze,2016-06-27T23:01:42.040Z,"4 km ESE of Kumamoto, Japan",earthquake,4.9,4.7,0.093,34,reviewed,us,us
2016-04-15T19:01:58.950Z,33.0808,131.1656,10,4.6,mb,,107,0.246,1.28,us,us20005l03,2016-06-27T23:01:42.040Z,"17 km NNE of Aso, Japan",earthquake,3.9,1.8,0.194,9,reviewed,us,us
2016-04-15T18:55:53.500Z,33.0051,131.1569,13.22,5.5,mwr,,19,0.263,0.87,us,us20005inz,2022-08-02T18:32:15.534Z,"10 km NE of Aso, Japan",earthquake,4.7,3.2,0.098,10,reviewed,us,us
2016-04-15T18:20:49.930Z,33.0919,131.0131,19.81,4.5,mb,,102,0.119,0.74,us,us20005inf,2016-06-27T23:01:41.040Z,"18 km NNW of Aso, Japan",earthquake,5.4,4,0.127,18,reviewed,us,us
2016-04-15T18:16:42.610Z,33.0883,130.8645,18.99,4.5,mb,,45,0.038,1.01,us,us20005in9,2022-08-02T18:32:02.904Z,"12 km NNE of Kikuchi, Japan",earthquake,3.8,3.5,0.079,47,reviewed,us,us
2016-04-15T18:03:10.940Z,32.9196,131.0212,4.35,5.4,mwr,,32,0.238,0.61,us,us20005imz,2022-08-02T18:31:01.229Z,"5 km WSW of Aso, Japan",earthquake,5,3.5,0.089,12,reviewed,us,us
2016-04-15T17:49:18.090Z,33.209,131.3317,10,4.5,mb,,101,0.39,0.71,us,us20005imv,2016-06-27T23:01:40.040Z,"17 km WSW of Beppu, Japan",earthquake,4.9,1.4,0.113,26,reviewed,us,us
2016-04-15T17:04:11.230Z,32.7415,130.7325,9.24,4.6,mb,,85,0.401,0.92,us,us20005il9,2016-06-27T23:01:39.040Z,"Kyushu, Japan",earthquake,4.9,4.7,0.069,63,reviewed,us,us
2016-04-15T16:45:56.680Z,32.9241,130.8091,10,5.7,mww,,61,0.208,1.23,us,us20005ija,2022-05-03T18:12:16.372Z,"6 km S of Kikuchi, Japan",earthquake,5.4,0.9,,,reviewed,us,us
2016-04-15T16:44:06.860Z,32.7091,130.7194,10,5.3,mb,,51,0.435,0.88,us,us20005ij8,2022-03-09T23:21:21.829Z,"5 km ENE of Uto, Japan",earthquake,4.8,1.8,0.063,85,reviewed,us,us
2016-04-15T16:43:07.560Z,32.6976,130.8055,10,5.2,mb,,109,0.43,1.31,us,us20005kz9,2016-06-27T23:01:39.040Z,"13 km E of Uto, Japan",earthquake,6.5,1.9,0.191,9,reviewed,us,us
2016-04-15T16:38:21.450Z,32.6729,130.7928,10,4.8,mb,,85,0.456,0.9,us,us20005kzq,2016-06-27T23:01:39.040Z,"11 km E of Uto, Japan",earthquake,6.8,1.9,0.081,47,reviewed,us,us
2016-04-15T16:33:20.400Z,32.7665,130.8229,10,5.3,mb,,68,0.36,0.87,us,us20005kzp,2016-06-27T23:01:38.040Z,"13 km ESE of Kumamoto, Japan",earthquake,7.7,1.9,0.081,51,reviewed,us,us
2016-04-15T16:30:46.470Z,32.8598,131.8011,10,5.1,mb,,124,0.82,0.92,us,us20005l06,2016-06-27T23:01:38.040Z,"13 km SW of Saiki, Japan",earthquake,6.2,1.9,0.216,7,reviewed,us,us
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,mww,,32,0.349,0.85,us,us20005iis,2025-12-23T23:52:26.947Z,"6 km ESE of Kumamoto, Japan",earthquake,4.9,1.7,,,reviewed,us,us
