time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-31T10:12:25.790Z,34.788,-116.293,2.359,2.52,ml,0,127.3,,0.142,ci,ci9131853,2016-02-15T23:49:29.376Z,"14km WNW of Ludlow, California",earthquake,,0.426,,137,reviewed,ci,ci
1999-12-30T21:04:17.030Z,34.301,-116.082,0.121,2.77,ml,0,63.7,,0.143,ci,ci9131758,2016-02-15T23:49:20.138Z,"18km N of Twentynine Palms, California",earthquake,,0.385,,119,reviewed,ci,ci
1999-12-30T17:17:24.500Z,35.985,-115.989,5,2.93,mc,0,250,0.9525,0.268,ci,ci9131705,2016-02-16T18:52:33.983Z,"25km S of Pahrump, Nevada",earthquake,,,,38,reviewed,ci,ci
1999-12-30T07:28:05.520Z,34.479,-116.043,2.034,2.73,mc,0,83.4,,0.156,ci,ci9131626,2016-02-16T02:13:38.751Z,"29km WSW of Amboy, California",earthquake,,0.371,,51,reviewed,ci,ci
1999-12-30T06:24:35.110Z,34.11,-117.33,17.895,3.29,ml,0,25.7,,0.208,ci,ci9131630,2016-04-02T10:33:29.707Z,"4km E of Rialto, CA",earthquake,,0.296,,24,reviewed,ci,ci
1999-12-29T23:47:44.500Z,34.703,-116.294,9.22,3.81,mh,0,105.2,0.1192,0.052,ci,ci9131560,2016-04-01T21:34:52.612Z,"12km W of Ludlow, CA",earthquake,,3.815,,2,reviewed,ci,ci
1999-12-29T18:12:44.150Z,34.675,-116.294,1.014,3.18,ml,0,89.2,,0.144,ci,ci9131501,2016-04-02T10:35:40.534Z,"13km WSW of Ludlow, CA",earthquake,,0.356,,12,reviewed,ci,ci
1999-12-29T17:24:54.620Z,34.698,-116.295,2.38,2.56,ml,0,161.4,0.1193,0.063,ci,ci9131494,2016-02-16T18:52:26.695Z,"13km WSW of Ludlow, California",earthquake,,0.732,0.609,7,reviewed,ci,ci
1999-12-29T09:06:14.830Z,34.724,-116.067,2.032,2.69,mc,0,124.2,,0.13,ci,ci9131421,2016-02-17T09:26:47.403Z,"8km E of Ludlow, California",earthquake,,0.746,,51,reviewed,ci,ci
1999-12-29T08:27:11.860Z,34.721,-116.074,1.072,2.8,ml,0,50,0.07424,0.153,ci,ci9131430,2016-02-16T09:13:18.124Z,"8km E of Ludlow, California",earthquake,,0.672,,5,reviewed,ci,ci
1999-12-29T08:18:44.530Z,34.792,-116.371,0.789,3.2,ml,0,71.6,0.04709,0.136,ci,ci9131427,2016-04-02T07:15:13.811Z,"21km WNW of Ludlow, CA",earthquake,,0.576,,12,reviewed,ci,ci
1999-12-29T05:41:30.520Z,34.727,-116.067,1.88,2.69,ml,0,124.6,,0.14,ci,ci9131409,2016-02-17T11:49:46.626Z,"8km E of Ludlow, California",earthquake,,0.501,,7,reviewed,ci,ci
1999-12-29T03:25:11.820Z,34.854,-116.416,0.35,2.58,mc,0,129.4,,0.202,ci,ci9131383,2016-02-17T07:03:45.447Z,"28km WNW of Ludlow, California",earthquake,,0.412,,50,reviewed,ci,ci
1999-12-29T00:53:40.800Z,34.727,-116.066,1.872,2.5,mc,0,124.7,,0.136,ci,ci9131361,2016-02-17T04:40:12.347Z,"9km E of Ludlow, California",earthquake,,0.475,,39,reviewed,ci,ci
1999-12-28T15:51:38.620Z,34.572,-116.292,-0.8,2.78,ml,0,54.1,,0.166,ci,ci9131216,2016-02-16T09:13:10.906Z,"20km SW of Ludlow, California",earthquake,,0.47,,7,reviewed,ci,ci
1999-12-28T15:51:18.400Z,34.572,-116.292,-0.423,2.76,mc,0,72.8,0.1603,0.155,ci,ci3321766,2016-02-16T06:54:07.474Z,"20km SW of Ludlow, California",earthquake,,1.259,,59,reviewed,ci,ci
1999-12-28T05:44:48.730Z,34.494,-116.334,4.448,2.62,ml,0,53.8,,0.181,ci,ci9131157,2016-02-17T09:26:38.274Z,"30km SSW of Ludlow, California",earthquake,,9.256,,6,reviewed,ci,ci
1999-12-27T21:57:13.690Z,33.707,-116.763,16.656,2.6,mc,0,43.8,,0.199,ci,ci9131109,2016-02-16T06:54:03.408Z,"6km SW of Idyllwild, California",earthquake,,0.574,,54,reviewed,ci,ci
1999-12-27T19:47:28.170Z,34.552,-116.508,5.551,2.56,ml,0,44.9,,0.181,ci,ci9131080,2016-02-16T06:54:00.865Z,"37km WSW of Ludlow, California",earthquake,,7.305,,121,reviewed,ci,ci
