sequence,mainshock_magnitude,mainshock_depth,region,K,c,p,r_squared
Ridgecrest_2019,7.1,8.0,CA,398.8259293272517,0.09543308107509474,1.1732815980335727,0.9953750852806013
Northridge_1994,6.7,18.2,CA,323.0865452917146,0.4612572677126289,1.3618951362848073,0.9972620191684709
Landers_1992,7.3,1.1,CA,2990.6044661840447,2.9952605048277854,1.3467277145651528,0.9995289252071851
Hector_Mine_1999,7.1,5.0,CA,475.62650391367595,0.5976058080419061,1.26163491959225,0.9957350781378072
Loma_Prieta_1989,6.9,16.8,CA,44.092909808635426,0.0010000000000000002,0.9381232213241467,0.987119984061085
Tohoku_2011,9.0,29.0,Japan,566.7361043558942,0.5962367967032632,1.05314993791646,0.9992960530343133
Kumamoto_2016,7.0,11.0,Japan,3.9045579520584863,0.0010000000000000002,1.0459760907934748,0.9596795020979411
Kobe_1995,6.9,16.0,Japan,0.7657154152869434,0.0010000000000000002,1.1841109959432543,0.6593429924708039
Maule_2010,8.8,35.0,Chile,297.9598407595161,0.7364067315592872,1.188209309696626,0.989311887903804
