Config,Train_MAE,Val_MAE,Test_MAE
"{'units': 32, 'layers': 1, 'window_size': 7}",2.866231388775683,2.8771951550703783,2.7308449915477206
"{'units': 50, 'layers': 1, 'window_size': 14}",2.4475167883658706,2.452443943839324,2.8623692705517723
"{'units': 100, 'layers': 2, 'window_size': 7}",2.8503068459132757,2.8608491428081804,2.6753944726217362
"{'units': 50, 'layers': 2, 'window_size': 14}",2.44358248537946,2.4790421078079623,2.7912774823960804
