Config,Train_MAE,Val_MAE,Test_MAE
"{'filters': 16, 'kernel_size': 3, 'window_size': 7}",2.8855168263721205,2.932817316880593,2.949124421392168
"{'filters': 32, 'kernel_size': 3, 'window_size': 14}",2.2708035085640406,2.481195694338857,2.7714570193063643
"{'filters': 64, 'kernel_size': 5, 'window_size': 7}",2.7982633390397,2.938143368317531,2.964558959007263
"{'filters': 32, 'kernel_size': 5, 'window_size': 14}",2.2927756263993424,2.458865894220377,2.7444347824369157
